景点编号                                    图片的jpg文件路径
QX001                                       image/QX00101.jpg
QX001                                       image/QX00102.jpg
QX001                                       image/QX00103.jpg
XW001                                       image/XW00101.jpg
XW001                                       image/XW00102.jpg
XW001                                       image/XW00103.jpg
JN001                                       image/JN00101.jpg
JN001                                       image/JN00102.jpg
JN001                                       image/JN00103.jpg
QH001                                       image/QH00101.jpg
QH001                                       image/QH00102.jpg
QH001                                       image/QH00103.jpg
GL001                                       image/GL00101.jpg
GL001                                       image/GL00102.jpg
GL001                                       image/GL00103.jpg
PK001                                       image/PK00101.jpg
PK001                                       image/PK00102.jpg
PK001                                       image/PK00103.jpg
LS001                                       image/LS00101.jpg
LS001                                       image/LS00102.jpg
LS001                                       image/LS00103.jpg
GC001                                       image/GC00101.jpg
GC001                                       image/GC00102.jpg
GC001                                       image/GC00103.jpg
YHT001                                       image/YHT00101.jpg
YHT001                                       image/YHT00102.jpg
YHT001                                       image/YHT00103.jpg
QX002                                       image/QX00201.jpg
QX002                                       image/QX00202.jpg
QX002                                       image/QX00203.jpg
XW002                                       image/XW00201.jpg
XW002                                       image/XW00202.jpg
XW002                                       image/XW00203.jpg
JN002                                       image/JN00201.jpg
JN002                                       image/JN00202.jpg
JN002                                       image/JN00203.jpg
QH002                                       image/QH00201.jpg
QH002                                       image/QH00202.jpg
QH002                                       image/QH00203.jpg
GL002                                       image/GL00201.jpg
GL002                                       image/GL00202.jpg
GL002                                       image/GL00203.jpg
PK002                                       image/PK00201.jpg
PK002                                       image/PK00202.jpg
PK002                                       image/PK00203.jpg
LS002                                       image/LS00201.jpg
LS002                                       image/LS00202.jpg
LS002                                       image/LS00203.jpg
GC002                                       image/GC00201.jpg
GC002                                       image/GC00202.jpg
GC002                                       image/GC00203.jpg
YHT002                                       image/YHT00201.jpg
YHT002                                       image/YHT00202.jpg
YHT002                                       image/YHT00203.jpg
QX003                                       image/QX00301.jpg
QX003                                       image/QX00302.jpg
QX003                                       image/QX00303.jpg
XW003                                       image/XW00301.jpg
XW003                                       image/XW00302.jpg
XW003                                       image/XW00303.jpg
JN003                                       image/JN00301.jpg
JN003                                       image/JN00302.jpg
JN003                                       image/JN00303.jpg
QH003                                       image/QH00301.jpg
QH003                                       image/QH00302.jpg
QH003                                       image/QH00303.jpg
GL003                                       image/GL00301.jpg
GL003                                       image/GL00302.jpg
GL003                                       image/GL00303.jpg
PK003                                       image/PK00301.jpg
PK003                                       image/PK00302.jpg
PK003                                       image/PK00303.jpg
LS003                                       image/LS00301.jpg
LS003                                       image/LS00302.jpg
LS003                                       image/LS00303.jpg
GC003                                       image/GC00301.jpg
GC003                                       image/GC00302.jpg
GC003                                       image/GC00303.jpg
YHT003                                       image/YHT00301.jpg
YHT003                                       image/YHT00302.jpg
YHT003                                       image/YHT00303.jpg
